,bid,ask
4581.0,1221,0
4581.5,1678,0
4582.0,13691,0
4582.5,3356,0
4583.0,2749,0
4583.5,4047,0
4584.0,4544,0
4584.5,4399,0
4585.0,4520,0
4585.5,4465,0
4586.0,7407,0
4586.5,7012,0
4587.0,8600,0
4587.5,11854,0
4588.0,13260,0
4588.5,16269,0
4589.0,11374,0
4589.5,10045,0
4590.0,13974,0
4590.5,19571,0
4591.0,26804,0
4591.5,35617,0
4592.0,37120,0
4592.5,42905,0
4593.0,49387,0
4593.5,61837,0
4594.0,86115,0
4594.5,107442,0
4595.0,133361,0
4595.5,129235,0
4596.0,18621,0
4596.5,7640,0
4597.0,9432,0
4597.5,4887,0
4598.0,0,0
4598.5,0,0
4599.0,0,0
4599.5,0,0
4600.0,0,18763
4600.5,0,69602
4601.0,0,58228
4601.5,0,49500
4602.0,0,32763
4602.5,0,33612
4603.0,0,33649
4603.5,0,37424
4604.0,0,46133
4604.5,0,51766
4605.0,0,42672
4605.5,0,39363
4606.0,0,32493
4606.5,0,29300
4607.0,0,23936
4607.5,0,19035
4608.0,0,10459
4608.5,0,10840
4609.0,0,9177
4609.5,0,11226
4610.0,0,5111
4610.5,0,1721
